FNAME,MJD,DATE,s1,merr1,s2,merr2,s3,merr3,s4,merr4,s5,merr5,s6,merr6,s7,merr7,s8,merr8,s9,merr9,s10,merr10,s11,merr11,s12,merr12,s13,merr13,s14,merr14,s15,merr15,s16,merr16,s17,merr17,s18,merr18,s19,merr19,s20,merr20,s21,merr21,s22,merr22,s23,merr23,s24,merr24,s25,merr25,s26,merr26,s27,merr27,s28,merr28,s29,merr29,s30,merr30,s31,merr31,s32,merr32,s33,merr33,s34,merr34,s35,merr35,s36,merr36,s37,merr37,s38,merr38,s39,merr39
Vv0001w.fits,58756.030185,2019-09-30T00:43:27.984,16.02497,0.003434865,17.458331,0.0035471183,14.748751,0.0034133487,16.049598,0.0035342325,11.918663,0.0016554746,17.320275,0.003621862,16.986361,0.0035435259,13.2585,0.0025602539,17.248769,0.003532581,16.753579,0.0035826029,14.859654,0.0034121774,17.074064,0.0035669069,14.762908,0.0032815398,16.907575,0.0035753181,17.316264,0.0037068679,14.441863,0.0031423233,16.109469,0.003578783,16.701438,0.0035376625,13.970457,0.0029516441,14.727491,0.0032555742,11.613416,0.0014695609,16.252938,0.0035187693,16.671916,0.0035505255,16.033456,0.0035306947,15.346757,0.0035373539,14.952223,0.003293491,16.55909,0.0035840383,16.330374,0.0035576362,17.205628,0.0036196254,16.603905,0.0035194764,16.582329,0.003538513,16.252235,0.0035705348,16.651817,0.0036115524,16.234501,0.0035450788,16.571017,0.0035939713,17.560019,0.0035558533,16.34723,0.0035814678,16.407893,0.0035702849,13.572741,0.024889477
Vv0002w.fits,58756.032454,2019-09-30T00:46:44.026,15.650981,0.0033652843,17.412934,0.0034260414,14.459724,0.0031249463,15.634734,0.0034195616,11.612085,0.0014473581,17.133677,0.0034153123,17.093136,0.003359465,12.908578,0.0022513253,16.6219,0.0033792557,16.251146,0.0033606832,14.543105,0.0030747056,16.842088,0.0034390094,14.497654,0.0030347099,16.551133,0.0034261696,16.923815,0.0034683999,14.120408,0.0029401801,15.706287,0.0033347513,16.6104,0.0034231402,13.68122,0.0027641507,14.38843,0.0030510859,11.336679,0.0013066515,15.813057,0.0033988768,16.34986,0.0034143282,15.672099,0.0033583182,15.054915,0.0032536045,14.663475,0.0031635318,18.03149,0.0035337786,15.975939,0.0034134843,16.663626,0.0034589703,16.522618,0.0033082258,16.183448,0.0034075703,15.848182,0.0033355961,18.348747,0.0036326632,16.212142,0.0034382509,16.126401,0.0034337889,16.857862,0.0034158998,15.97736,0.0033344805,16.381542,0.0033576637,13.546273,0.024114458
Vv0003w.fits,58756.036319,2019-09-30T00:52:17.962,15.646482,0.0032636139,nan,0.0033478342,14.453447,0.0031136586,15.733661,0.0034211014,11.609189,0.0014472559,17.20652,0.0034875587,nan,0.0034530439,12.940529,0.0022787069,16.717918,0.0033757755,16.357426,0.003367588,14.537561,0.0031246756,17.287116,0.0034557747,14.450824,0.003079247,16.395191,0.0033350146,16.508777,0.0034423801,14.134579,0.0029343723,15.786922,0.0033856511,15.362637,0.0032008221,13.673086,0.0027386644,14.362336,0.0030336069,11.396151,0.0013379891,15.960909,0.0033790249,16.626862,0.0034285346,15.731635,0.00334471,15.075715,0.0032492418,14.666764,0.0031396637,21.697854,0.0035198734,15.929967,0.0032377631,16.803537,0.0034628114,16.258224,0.0033752226,16.299833,0.0034138124,21.935415,0.0035433606,20.363545,0.0035146939,16.353853,0.0034503026,16.373565,0.0034541383,16.7758,0.0033310149,15.926216,0.0033259687,16.367673,0.0034388519,15.802078,0.00328985
Vv0004w.fits,58756.037442,2019-09-30T00:53:54.989,15.701221,0.0032919417,17.465068,0.0033369067,14.570795,0.0031657425,15.667977,0.0034195802,11.641761,0.0014814774,17.446458,0.0034192234,16.942453,0.0033363406,12.952102,0.0023154348,16.490799,0.0034746233,16.107581,0.0034328157,14.563629,0.0031561681,17.049226,0.0034439461,14.496805,0.0030992608,16.473345,0.0034323985,17.083016,0.0035488115,14.139558,0.0029389512,15.728803,0.0033271436,16.808246,0.0033235738,13.691809,0.0027547195,14.480511,0.0030895297,11.432752,0.0013592921,15.997662,0.0032888238,16.411996,0.0034063037,15.852604,0.0033830693,14.934666,0.0032036058,14.768349,0.0031472024,16.179289,0.0033537449,16.065904,0.0034114544,16.879472,0.0034609421,16.27781,0.0033741221,16.173741,0.0033933128,16.008956,0.0035062104,16.353555,0.0034333366,16.267945,0.0034341166,16.27724,0.0034240156,16.82476,0.0033948235,16.040129,0.0032540812,16.295359,0.0034336189,16.021246,0.003305649
Vv0005w.fits,58756.038565,2019-09-30T00:55:32.016,15.813292,0.0033141023,17.663729,0.0033517819,14.50102,0.0031547707,15.75801,0.0034432207,11.598854,0.001444608,17.067459,0.0034118571,16.872167,0.0033557626,12.925067,0.0022634173,16.529098,0.0034838427,16.390847,0.0034622093,14.523608,0.0030739061,16.996756,0.0034449076,14.487246,0.0030391659,16.657433,0.0034508161,16.624214,0.003570137,14.131147,0.0029402348,15.729904,0.0034066264,16.685921,0.0034139501,13.672609,0.002737391,14.481333,0.0030990016,11.424478,0.0013416141,15.95935,0.0033089801,16.477871,0.0033438071,15.784395,0.0033917643,15.021267,0.0032553461,14.67055,0.0031321901,16.433078,0.0034462022,16.105191,0.0034170088,16.604948,0.0033607093,16.572379,0.003433388,16.104434,0.0033995869,16.79466,0.0034895487,16.307755,0.0034621264,16.210073,0.0034287159,16.149872,0.0034184502,16.783766,0.0033224521,16.049595,0.0033508627,16.295348,0.0034470983,13.48045,0.025240074
Vv0006w.fits,58756.039687,2019-09-30T00:57:08.957,15.688734,0.0033707058,17.425897,0.0034414568,14.501761,0.0031446549,15.712776,0.0033747375,11.59685,0.001439179,17.025749,0.0033917155,16.814898,0.0033274481,12.930091,0.00230745,16.322098,0.0033660511,16.431224,0.0034560609,14.438898,0.0030278853,17.008368,0.0033753182,14.516441,0.0030319332,16.679425,0.0033411732,17.076795,0.0034462054,14.118611,0.0029343867,15.698403,0.0034005745,16.778957,0.0034296108,13.705601,0.0027503759,14.476929,0.0030802627,11.443647,0.0013669048,15.898471,0.0033041433,16.508884,0.0034023665,15.784415,0.0033834814,15.017568,0.003146914,14.687042,0.0030656423,16.358279,0.0034276459,16.139074,0.0033102213,16.821801,0.0034438082,16.628851,0.0033945392,16.253564,0.0033048169,19.978291,0.0035191207,16.357479,0.0034303711,16.05993,0.0034003642,16.172991,0.0034079169,16.8741,0.0033234592,16.046737,0.0033429596,16.290252,0.0034175593,13.556251,0.024708005
Vv0007w.fits,58756.04081,2019-09-30T00:58:45.984,15.641044,0.0033040559,17.231622,0.0034434194,14.51803,0.0031703145,15.724574,0.0033338826,11.610009,0.0014496747,17.283049,0.0034238455,16.711031,0.0033246581,12.934392,0.0022759723,16.457744,0.0034780022,16.111776,0.00344228,14.54422,0.0031526385,17.239173,0.0033637702,14.50368,0.0030413808,16.657033,0.003345998,17.438252,0.0035935937,14.139147,0.0028802391,15.764392,0.0033498471,16.686335,0.0034430534,13.684904,0.0026949886,14.473562,0.0030251035,11.472318,0.0013834074,16.067868,0.0034105481,16.425307,0.0034290852,15.78514,0.0033765418,15.077679,0.0032620109,14.696664,0.0031495951,16.180645,0.0034534402,16.066914,0.0034369697,16.936036,0.003482732,16.167714,0.0033823245,16.366519,0.0034311496,15.889321,0.0034117339,16.431678,0.0034435665,16.370277,0.0034399299,15.981006,0.0033285635,16.866726,0.0034186306,16.21126,0.003285949,16.705345,0.0035046676,13.45021,0.024999356
Vv0008w.fits,58756.041921,2019-09-30T01:00:21.974,15.686999,0.003387354,17.1208,0.0034180996,14.526355,0.0031272844,15.811823,0.0033403328,11.605416,0.0014442765,17.110565,0.0034062071,16.954731,0.0033568892,12.929532,0.0022674049,16.659159,0.0034925822,16.32918,0.0033626836,14.528244,0.0031314753,17.010506,0.0034595698,14.515272,0.0030961389,16.462817,0.0034179818,17.252309,0.0034764008,14.118085,0.0029378156,15.884078,0.0033480354,16.672132,0.0033405163,13.697344,0.0027588938,14.505348,0.0030848824,11.48089,0.0013888876,16.046628,0.0034086568,16.64156,0.0034091172,15.904853,0.0033894702,15.112936,0.0032538459,14.684578,0.003138442,16.323438,0.0034501801,16.157686,0.0034390726,16.69543,0.0034620597,16.281123,0.0033984655,16.340265,0.0033306658,15.986159,0.0034210903,16.251725,0.0034361458,16.20412,0.0034294767,16.208385,0.003440714,16.767625,0.0034148422,16.063477,0.0033526179,16.272344,0.0034554067,13.568309,0.024598318
Vv0009w.fits,58756.043044,2019-09-30T01:01:59.002,15.677153,0.0033203264,17.632794,0.003454887,14.534184,0.0031726289,15.720533,0.003428109,11.606189,0.0014483236,17.301683,0.0034095387,16.782901,0.0033573963,12.935993,0.0022697507,16.521183,0.0034005935,16.505388,0.0033919823,14.578791,0.0031736848,17.415998,0.0033986383,14.510342,0.003111369,16.767201,0.0033504955,17.19697,0.0035090855,14.12312,0.0028834641,15.290834,0.0032649148,16.323606,0.0033069274,13.689175,0.002698849,14.500442,0.0030992159,11.516054,0.0014049974,16.057576,0.0033199901,16.612455,0.0034372731,15.726098,0.0034115058,15.052187,0.0032567189,14.697104,0.0031490669,16.179672,0.0033692634,15.951354,0.0034220679,16.856228,0.0034790502,16.177543,0.0034020478,16.184466,0.0034112193,19.036414,0.0035515548,16.406508,0.0033538189,16.239473,0.0034363703,16.237535,0.0034416698,16.846236,0.0032463792,15.931789,0.003260442,16.432603,0.0034520115,13.640662,0.024247136
Vv0010w.fits,58756.044167,2019-09-30T01:03:36.029,15.583309,0.0032758743,17.366919,0.0034454773,14.433823,0.0031281654,15.629607,0.0033903806,11.604063,0.0014448452,17.087279,0.0034095032,17.047905,0.0033549727,12.929161,0.0022645708,16.470862,0.0034822989,16.368538,0.0034781651,14.543808,0.0032321094,17.152313,0.003396643,14.474264,0.0031002731,16.512968,0.0033552805,17.204172,0.003481939,14.115289,0.0029553814,15.769846,0.0034175209,16.530854,0.0034339616,13.691356,0.0027668828,14.484449,0.0030278227,11.525168,0.0013975368,15.988761,0.0034243525,16.662108,0.0034518844,15.878354,0.0033873294,15.119772,0.0032558451,14.676318,0.0031621385,16.27498,0.0034496911,16.038627,0.0034123983,16.780966,0.0034799374,16.341712,0.0034039019,16.195786,0.0034198487,16.014322,0.0034517101,16.220993,0.0034346551,16.358744,0.0034327243,16.371513,0.003351891,16.828285,0.0034184654,15.946422,0.0032558193,16.450119,0.0034811058,13.550975,0.024662708
